score,   2d6p6,     3d6,   4d6dl
    3, 1.00000, 1.00000, 1.00000
    4, 1.00000, 1.00000, 1.00000
    5, 1.00000, 1.00000, 1.00000
    6, 1.00000, 1.00000, 1.00000
    7, 1.00000, 1.00000, 1.00000
    8, 1.00000, 1.00000, 1.00000
    9, 1.00000, 0.99985, 1.00000
   10, 1.00000, 0.99805, 0.99999
   11, 0.99999, 0.98553, 0.99982
   12, 0.99962, 0.93288, 0.99758
   13, 0.99220, 0.79640, 0.98066
   14, 0.94657, 0.58307, 0.90640
   15, 0.80636, 0.34747, 0.71547
   16, 0.54290, 0.15506, 0.41527
   17, 0.22371, 0.04109, 0.13659
   18, 0.00000, 0.00000, 0.00000
