score,   2d6p6,     3d6,   4d6dl
   27, 1.00000, 1.00000, 1.00000
   28, 1.00000, 1.00000, 1.00000
   29, 1.00000, 1.00000, 1.00000
   30, 1.00000, 1.00000, 1.00000
   31, 1.00000, 1.00000, 1.00000
   32, 1.00000, 1.00000, 1.00000
   33, 1.00000, 1.00000, 1.00000
   34, 1.00000, 1.00000, 1.00000
   35, 1.00000, 1.00000, 1.00000
   36, 1.00000, 1.00000, 1.00000
   37, 1.00000, 1.00000, 1.00000
   38, 1.00000, 1.00000, 1.00000
   39, 1.00000, 1.00000, 1.00000
   40, 1.00000, 1.00000, 1.00000
   41, 1.00000, 1.00000, 1.00000
   42, 1.00000, 1.00000, 1.00000
   43, 1.00000, 1.00000, 1.00000
   44, 1.00000, 1.00000, 1.00000
   45, 1.00000, 1.00000, 1.00000
   46, 1.00000, 1.00000, 1.00000
   47, 1.00000, 1.00000, 1.00000
   48, 1.00000, 1.00000, 1.00000
   49, 1.00000, 1.00000, 1.00000
   50, 1.00000, 1.00000, 1.00000
   51, 1.00000, 1.00000, 1.00000
   52, 1.00000, 1.00000, 1.00000
   53, 1.00000, 1.00000, 1.00000
   54, 1.00000, 1.00000, 1.00000
   55, 1.00000, 1.00000, 1.00000
   56, 1.00000, 0.99999, 1.00000
   57, 1.00000, 0.99999, 1.00000
   58, 1.00000, 0.99998, 1.00000
   59, 1.00000, 0.99998, 1.00000
   60, 1.00000, 0.99996, 1.00000
   61, 1.00000, 0.99993, 1.00000
   62, 1.00000, 0.99989, 1.00000
   63, 1.00000, 0.99982, 1.00000
   64, 1.00000, 0.99971, 1.00000
   65, 1.00000, 0.99956, 1.00000
   66, 1.00000, 0.99933, 1.00000
   67, 1.00000, 0.99899, 1.00000
   68, 1.00000, 0.99851, 1.00000
   69, 1.00000, 0.99782, 1.00000
   70, 1.00000, 0.99685, 1.00000
   71, 1.00000, 0.99554, 0.99999
   72, 1.00000, 0.99375, 0.99999
   73, 1.00000, 0.99138, 0.99999
   74, 1.00000, 0.98828, 0.99997
   75, 1.00000, 0.98423, 0.99996
   76, 1.00000, 0.97906, 0.99994
   77, 1.00000, 0.97260, 0.99990
   78, 1.00000, 0.96452, 0.99984
   79, 1.00000, 0.95467, 0.99976
   80, 1.00000, 0.94266, 0.99963
   81, 1.00000, 0.92839, 0.99945
   82, 1.00000, 0.91159, 0.99919
   83, 1.00000, 0.89197, 0.99882
   84, 1.00000, 0.86951, 0.99829
   85, 1.00000, 0.84397, 0.99755
   86, 1.00000, 0.81544, 0.99655
   87, 0.99999, 0.78392, 0.99519
   88, 0.99998, 0.74948, 0.99338
   89, 0.99996, 0.71236, 0.99103
   90, 0.99993, 0.67306, 0.98791
   91, 0.99986, 0.63166, 0.98392
   92, 0.99975, 0.58877, 0.97880
   93, 0.99957, 0.54475, 0.97240
   94, 0.99926, 0.50006, 0.96446
   95, 0.99876, 0.45546, 0.95471
   96, 0.99801, 0.41128, 0.94288
   97, 0.99685, 0.36820, 0.92876
   98, 0.99513, 0.32672, 0.91210
   99, 0.99264, 0.28722, 0.89273
  100, 0.98912, 0.25023, 0.87032
  101, 0.98427, 0.21588, 0.84488
  102, 0.97772, 0.18445, 0.81615
  103, 0.96902, 0.15597, 0.78439
  104, 0.95787, 0.13053, 0.74941
  105, 0.94368, 0.10808, 0.71166
  106, 0.92593, 0.08856, 0.67123
  107, 0.90442, 0.07174, 0.62869
  108, 0.87871, 0.05746, 0.58439
  109, 0.84855, 0.04546, 0.53876
  110, 0.81393, 0.03558, 0.49248
  111, 0.77476, 0.02751, 0.44609
  112, 0.73151, 0.02101, 0.40024
  113, 0.68436, 0.01584, 0.35561
  114, 0.63415, 0.01177, 0.31247
  115, 0.58157, 0.00870, 0.27172
  116, 0.52747, 0.00629, 0.23372
  117, 0.47295, 0.00449, 0.19867
  118, 0.41877, 0.00317, 0.16681
  119, 0.36615, 0.00221, 0.13826
  120, 0.31578, 0.00153, 0.11308
  121, 0.26873, 0.00103, 0.09124
  122, 0.22533, 0.00068, 0.07263
  123, 0.18618, 0.00044, 0.05695
  124, 0.15144, 0.00029, 0.04397
  125, 0.12120, 0.00019, 0.03346
  126, 0.09552, 0.00012, 0.02502
  127, 0.07400, 0.00007, 0.01841
  128, 0.05630, 0.00004, 0.01328
  129, 0.04212, 0.00003, 0.00943
  130, 0.03089, 0.00001, 0.00659
  131, 0.02221, 0.00001, 0.00452
  132, 0.01566, 0.00000, 0.00303
  133, 0.01084, 0.00000, 0.00200
  134, 0.00735, 0.00000, 0.00128
  135, 0.00486, 0.00000, 0.00079
  136, 0.00315, 0.00000, 0.00049
  137, 0.00199, 0.00000, 0.00029
  138, 0.00123, 0.00000, 0.00017
  139, 0.00073, 0.00000, 0.00010
  140, 0.00042, 0.00000, 0.00005
  141, 0.00024, 0.00000, 0.00003
  142, 0.00013, 0.00000, 0.00001
  143, 0.00007, 0.00000, 0.00001
  144, 0.00003, 0.00000, 0.00000
  145, 0.00002, 0.00000, 0.00000
  146, 0.00001, 0.00000, 0.00000
  147, 0.00000, 0.00000, 0.00000
  148, 0.00000, 0.00000, 0.00000
  149, 0.00000, 0.00000, 0.00000
