score,   2d6p6,     3d6,   4d6dl
    9, 1.00000, 1.00000, 1.00000
   10, 1.00000, 1.00000, 1.00000
   11, 1.00000, 1.00000, 1.00000
   12, 1.00000, 1.00000, 1.00000
   13, 1.00000, 1.00000, 1.00000
   14, 1.00000, 1.00000, 1.00000
   15, 1.00000, 1.00000, 1.00000
   16, 1.00000, 1.00000, 1.00000
   17, 1.00000, 1.00000, 1.00000
   18, 1.00000, 1.00000, 1.00000
   19, 1.00000, 1.00000, 1.00000
   20, 1.00000, 1.00000, 1.00000
   21, 1.00000, 1.00000, 1.00000
   22, 1.00000, 1.00000, 1.00000
   23, 1.00000, 1.00000, 1.00000
   24, 1.00000, 0.99999, 1.00000
   25, 1.00000, 0.99997, 1.00000
   26, 1.00000, 0.99991, 1.00000
   27, 1.00000, 0.99972, 1.00000
   28, 1.00000, 0.99924, 1.00000
   29, 1.00000, 0.99818, 1.00000
   30, 1.00000, 0.99578, 0.99999
   31, 1.00000, 0.99100, 0.99996
   32, 1.00000, 0.98246, 0.99987
   33, 0.99998, 0.96729, 0.99963
   34, 0.99993, 0.94257, 0.99902
   35, 0.99979, 0.90586, 0.99770
   36, 0.99929, 0.85335, 0.99467
   37, 0.99785, 0.78400, 0.98847
   38, 0.99450, 0.69944, 0.97722
   39, 0.98604, 0.60157, 0.95686
   40, 0.96901, 0.49614, 0.92316
   41, 0.94001, 0.39106, 0.87293
   42, 0.89246, 0.29221, 0.80108
   43, 0.82266, 0.20599, 0.70667
   44, 0.73121, 0.13607, 0.59447
   45, 0.61843, 0.08362, 0.46983
   46, 0.49167, 0.04726, 0.34369
   47, 0.36372, 0.02434, 0.22994
   48, 0.24461, 0.01113, 0.13736
   49, 0.14613, 0.00447, 0.07121
   50, 0.07490, 0.00152, 0.03098
   51, 0.03120, 0.00041, 0.01067
   52, 0.00932, 0.00008, 0.00256
   53, 0.00161, 0.00001, 0.00033
   54, 0.00000, 0.00000, 0.00000
