score,   2d6p6,     3d6,   4d6dl
   18, 1.00000, 1.00000, 1.00000
   19, 1.00000, 1.00000, 1.00000
   20, 1.00000, 1.00000, 1.00000
   21, 1.00000, 1.00000, 1.00000
   22, 1.00000, 1.00000, 1.00000
   23, 1.00000, 1.00000, 1.00000
   24, 1.00000, 1.00000, 1.00000
   25, 1.00000, 1.00000, 1.00000
   26, 1.00000, 1.00000, 1.00000
   27, 1.00000, 1.00000, 1.00000
   28, 1.00000, 1.00000, 1.00000
   29, 1.00000, 1.00000, 1.00000
   30, 1.00000, 1.00000, 1.00000
   31, 1.00000, 1.00000, 1.00000
   32, 1.00000, 1.00000, 1.00000
   33, 1.00000, 1.00000, 1.00000
   34, 1.00000, 1.00000, 1.00000
   35, 1.00000, 1.00000, 1.00000
   36, 1.00000, 1.00000, 1.00000
   37, 1.00000, 1.00000, 1.00000
   38, 1.00000, 1.00000, 1.00000
   39, 1.00000, 1.00000, 1.00000
   40, 1.00000, 1.00000, 1.00000
   41, 1.00000, 1.00000, 1.00000
   42, 1.00000, 1.00000, 1.00000
   43, 1.00000, 0.99999, 1.00000
   44, 1.00000, 0.99999, 1.00000
   45, 1.00000, 0.99998, 1.00000
   46, 1.00000, 0.99996, 1.00000
   47, 1.00000, 0.99992, 1.00000
   48, 1.00000, 0.99985, 1.00000
   49, 1.00000, 0.99972, 1.00000
   50, 1.00000, 0.99951, 1.00000
   51, 1.00000, 0.99914, 1.00000
   52, 1.00000, 0.99856, 1.00000
   53, 1.00000, 0.99762, 1.00000
   54, 1.00000, 0.99617, 0.99999
   55, 1.00000, 0.99399, 0.99999
   56, 1.00000, 0.99079, 0.99998
   57, 1.00000, 0.98622, 0.99996
   58, 1.00000, 0.97980, 0.99992
   59, 1.00000, 0.97107, 0.99985
   60, 1.00000, 0.95942, 0.99974
   61, 0.99999, 0.94427, 0.99955
   62, 0.99999, 0.92489, 0.99921
   63, 0.99997, 0.90094, 0.99868
   64, 0.99994, 0.87174, 0.99781
   65, 0.99988, 0.83691, 0.99649
   66, 0.99975, 0.79659, 0.99449
   67, 0.99950, 0.75062, 0.99153
   68, 0.99906, 0.69971, 0.98718
   69, 0.99826, 0.64454, 0.98109
   70, 0.99692, 0.58586, 0.97259
   71, 0.99468, 0.52510, 0.96116
   72, 0.99113, 0.46362, 0.94588
   73, 0.98568, 0.40288, 0.92624
   74, 0.97748, 0.34409, 0.90126
   75, 0.96571, 0.28878, 0.87044
   76, 0.94925, 0.23790, 0.83332
   77, 0.92710, 0.19213, 0.78954
   78, 0.89808, 0.15200, 0.73947
   79, 0.86137, 0.11757, 0.68307
   80, 0.81643, 0.08909, 0.62159
   81, 0.76313, 0.06586, 0.55629
   82, 0.70214, 0.04753, 0.48872
   83, 0.63460, 0.03340, 0.42082
   84, 0.56233, 0.02290, 0.35438
   85, 0.48760, 0.01524, 0.29134
   86, 0.41296, 0.00986, 0.23337
   87, 0.34084, 0.00619, 0.18185
   88, 0.27365, 0.00377, 0.13753
   89, 0.21339, 0.00222, 0.10063
   90, 0.16138, 0.00125, 0.07118
   91, 0.11798, 0.00069, 0.04843
   92, 0.08322, 0.00036, 0.03165
   93, 0.05645, 0.00018, 0.01982
   94, 0.03678, 0.00009, 0.01183
   95, 0.02283, 0.00004, 0.00671
   96, 0.01347, 0.00002, 0.00362
   97, 0.00753, 0.00001, 0.00181
   98, 0.00396, 0.00000, 0.00085
   99, 0.00197, 0.00000, 0.00037
  100, 0.00090, 0.00000, 0.00014
  101, 0.00037, 0.00000, 0.00005
  102, 0.00014, 0.00000, 0.00001
  103, 0.00005, 0.00000, 0.00000
  104, 0.00001, 0.00000, 0.00000
  105, 0.00000, 0.00000, 0.00000
  106, 0.00000, 0.00000, 0.00000
  107, 0.00000, 0.00000, 0.00000
  108, 0.00000, 0.00000, 0.00000
